SID,Department,Hall_Status,Male_Female,Attendance,ClassText,Cgpa,Total_Credit_Completed,Status
5889,8,0,1,0.953508772,0.788157895,3.508152174,161,
5892,2,0,0,0.775,0.550834375,2.644409938,161,
5900,2,1,1,1,0.925431034,3.84453125,160,
5913,6,1,1,0.77109375,0.641015625,3.672348485,132,
5920,6,1,1,0.937121212,0.667424242,3.094140625,160,
5921,11,1,1,0.963358779,0.724427481,3.950539568,139,
5922,5,1,1,0.967226891,0.680672269,2.86875,160,
5925,5,0,1,0.886666667,0.670416667,3.084375,160,
5926,5,1,1,0.813709677,0.565322581,2.5609375,160,
5927,5,1,1,0.941666667,0.660833333,2.9421875,160,
5928,5,1,1,0.848,0.6794,2.965178571,140,
5929,2,1,1,0.951724138,0.668534483,3.165625,160,
5930,1,1,1,0.950420168,0.767647059,3.534018987,158,
5931,1,0,1,1,0.814529915,3.766613924,158,
5932,1,0,1,0.994871795,0.827350427,3.768987342,158,
5933,1,1,1,0.897478992,0.649369748,3.220727848,158,
5934,1,1,1,0.9,0.721982759,3.251582278,158,
5935,1,0,1,0.953846154,0.801068376,3.75,158,
5936,1,0,1,0.979487179,0.779059829,3.754746835,158,
5937,1,1,0,0.984615385,0.761965812,3.467563291,158,
5938,1,1,1,0.997435897,0.800854701,3.650316456,158,
5939,1,1,1,0.812030075,0.565789474,2.894691781,146,
5940,1,1,1,0.994871795,0.808547009,3.612341772,158,
5941,1,1,1,0.98974359,0.807905983,3.598101266,158,
5942,3,1,1,0.937606838,0.788461538,3.352623457,162,
5943,3,1,1,0.947368421,0.753070175,3.097993827,162,
5944,3,1,1,0.965254237,0.785169492,3.481095679,162,
5945,4,1,1,0.888188976,0.723228346,3.157407407,162,
5961,4,1,0,0.9854,0.83699187,3.543981481,162,
5962,5,1,0,0.99338843,0.872727273,3.804347826,161,
5977,4,1,1,0.976377953,0.708661417,2.991898148,162,
5978,7,0,1,0.915652174,0.663478261,2.83254717,159,
5979,4,1,1,0.968503937,0.817716535,3.479166667,162,
5980,2,1,1,0.988,0.8276,3.52507716,162,
5981,4,1,1,0.829133858,0.646850394,3.152006173,162,
5983,1,1,1,0.982051282,0.76965812,3.211234177,158,
5984,2,1,1,0.9952,0.8056,3.488425926,162,
5985,3,1,1,0.951694915,0.77690678,3.567515432,162,
5986,11,0,1,0.856375839,0.647818792,2.993421053,152,
5987,4,1,1,0.996825397,0.716269841,2.923225309,162,
